Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population density (people per sq. km of land area),EN.POP.DNST,Early-demographic dividend,EAR,61.39102209,75.30659268,91.11098777,92.41923704,93.73654188,95.04529557,96.35073632,97.64253316,98.89641328,100.1322315,101.3229686,..
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific,EAS,74.42028923,83.65435133,91.59698372,92.3128,93.00367064,93.66793625,94.29342752,94.96333248,95.54496576,96.0537068,96.46409635,..
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific (excluding high income),EAP,100.3301518,113.4835093,124.8986952,125.9514517,126.9593451,127.9260735,128.8904453,129.8736266,130.7228675,131.4634011,132.0848031,..
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific (IDA & IBRD countries),TEA,99.7784367,112.8712217,124.2780877,125.3316948,126.3394926,127.3053279,128.2687995,129.2515433,130.0996428,130.8384988,131.4576597,..
Population density (people per sq. km of land area),EN.POP.DNST,Euro area,EMU,116.1523375,119.9264921,125.4660859,125.8278957,126.2604806,126.6714565,127.024005,127.3330736,127.6361606,127.7819439,127.9538718,..
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia,ECS,30.76065746,31.43717882,32.60890664,32.76312517,32.92997283,33.08961139,33.24409655,33.37181691,33.47765002,33.56521143,33.63621657,..
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia (excluding high income),ECA,16.15567273,16.5470466,17.12506665,17.24007208,17.36557675,17.48922882,17.60645861,17.70295781,17.77408043,17.84178647,17.89615446,..
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia (IDA & IBRD countries),TEC,18.61472239,18.95557266,19.39817931,19.50546972,19.62258513,19.73590249,19.84319805,19.93030995,19.99301952,20.0532011,20.09786369,..
Population density (people per sq. km of land area),EN.POP.DNST,European Union,EUU,105.2091835,107.4398799,110.4837409,110.7145983,110.9703722,111.2300432,111.4556289,111.6508438,111.8465587,111.9414092,112.0225221,..
Population density (people per sq. km of land area),EN.POP.DNST,Fragile and conflict affected situations,FCS,23.9222694,30.3403404,39.95032724,40.92839165,41.8869738,42.83601567,43.80624105,44.79151382,45.78334632,46.81295748,47.88739949,..
Population density (people per sq. km of land area),EN.POP.DNST,Heavily indebted poor countries (HIPC),HPC,18.12982115,24.05322229,34.41748148,35.4023221,36.43345454,37.49095952,38.5854328,39.72151328,40.86744324,42.02674478,43.2109697,..
Population density (people per sq. km of land area),EN.POP.DNST,High income,HIC,29.1884439,31.24521801,33.80807863,33.99897735,34.19341219,34.38561394,34.57172678,34.74799048,34.91599708,35.0633178,35.20689991,..
Population density (people per sq. km of land area),EN.POP.DNST,IBRD only,IBD,48.85840544,56.26921696,63.86929849,64.56616868,65.25964271,65.93232192,66.57807983,67.21043211,67.7894126,68.32425572,68.80420797,..
Population density (people per sq. km of land area),EN.POP.DNST,IDA & IBRD total,IBT,45.08911833,53.15891121,62.41444739,63.26240824,64.10987766,64.9451678,65.77813376,66.6154308,67.42426725,68.21295183,68.97437073,..
Population density (people per sq. km of land area),EN.POP.DNST,IDA blend,IDB,65.09447129,84.68406997,113.2179366,115.6326999,118.0202116,120.2343411,122.5569474,124.9806619,127.5284137,130.147127,132.8820119,..
